"home_manager_id","away_manager_id","date_id","home_nation_id","away_nation_id","round","attendance","home_score","away_score","home_xg","away_xg","home_penalty","away_penalty","n_home_yellow_card","n_home_red_card","n_away_yellow_card","n_away_red_card","n_home_penalty_miss","n_away_penalty_miss","n_home_penalty_goal","n_away_penalty_goal"
226,78,1,3,28,Final,88966,3,3,3.30,2.20,4,2,5,0,3,0,0,0,1,2
371,149,2,18,48,Third-place match,44137,2,1,0.70,1.20,,,0,0,2,0,0,0,0,0
78,149,3,28,48,Semi-finals,68294,2,0,2.00,0.90,,,0,0,1,0,0,0,0,0
226,371,4,3,18,Semi-finals,88966,3,0,2.30,0.50,,,2,0,2,0,0,0,1,0
149,97,5,48,58,Quarter-finals,44198,1,0,1.40,0.90,,,2,1,1,0,0,0,0,0
107,78,5,27,28,Quarter-finals,68895,1,2,2.40,0.90,,,1,0,3,0,1,0,1,0
371,346,6,18,9,Quarter-finals,43893,1,1,0.60,2.50,4,2,2,0,3,0,0,0,0,0
228,226,6,49,3,Quarter-finals,88235,2,2,0.60,1.90,3,4,7,1,10,0,0,0,0,1
149,232,7,48,71,Round of 16,44667,0,0,0.70,1.00,3,0,1,0,1,0,0,0,0,0
97,263,7,58,73,Round of 16,83720,6,1,2.30,1.20,,,0,0,2,0,0,0,0,0
131,371,8,43,18,Round of 16,42523,1,1,1.20,1.40,1,3,0,0,2,0,0,0,0,0
346,291,8,9,45,Round of 16,43847,4,1,3.60,0.50,,,0,0,1,0,0,0,1,0
78,71,9,28,57,Round of 16,40989,3,1,1.40,1.70,,,1,0,2,0,0,0,0,1
107,20,9,27,65,Round of 16,65985,3,0,1.00,0.80,,,0,0,1,0,0,0,0,0
228,122,10,49,80,Round of 16,44846,3,1,1.70,1.50,,,2,0,0,0,0,0,0,0
226,121,10,3,4,Round of 16,45032,2,1,1.60,0.60,,,0,0,2,0,0,0,0,0
333,97,11,45,58,Group stage,44097,2,1,1.70,1.30,,,2,0,0,0,0,0,0,0
283,79,11,31,81,Group stage,43443,0,2,1.60,1.80,,,2,0,5,0,1,0,0,0
314,346,11,11,9,Group stage,85986,1,0,0.50,2.50,,,4,1,2,0,0,0,0,0
83,263,11,66,73,Group stage,41378,2,3,1.30,2.70,,,7,0,4,0,0,0,0,0
176,149,12,12,48,Group stage,43102,1,2,1.40,0.50,,,4,0,0,0,0,0,0,0
371,318,12,18,6,Group stage,43984,0,0,0.70,3.00,,,0,0,1,0,0,0,0,0
233,132,12,16,29,Group stage,67054,2,4,1.30,5.70,,,1,0,0,0,0,0,0,0
131,232,12,43,71,Group stage,44851,2,1,1.40,1.00,,,3,0,0,0,0,0,0,0
121,214,13,4,23,Group stage,41232,1,0,0.60,0.60,,,2,0,1,0,0,0,0,0
164,78,13,76,28,Group stage,43627,1,0,0.50,0.80,,,1,0,0,0,0,0,0,0
146,343,13,63,47,Group stage,84985,1,2,1.10,2.30,,,6,0,1,0,0,0,0,0
71,226,13,57,3,Group stage,44089,0,2,0.30,3.50,,,1,0,1,0,0,1,0,0
125,20,14,24,65,Group stage,44569,1,2,0.90,2.10,,,0,0,1,0,0,0,0,1
228,94,14,49,59,Group stage,66784,2,0,1.60,0.10,,,1,0,0,0,0,0,0,0
59,122,14,36,80,Group stage,42127,0,1,0.40,1.20,,,3,0,1,0,0,0,0,0
316,107,14,82,27,Group stage,44297,0,3,0.30,2.40,,,2,0,0,0,0,0,0,0
314,83,15,11,66,Group stage,39789,3,3,2.20,1.90,,,2,0,2,0,0,0,0,0
291,283,15,45,31,Group stage,43983,2,3,1.80,1.60,,,2,1,2,0,0,0,0,0
346,263,15,9,73,Group stage,43649,1,0,1.00,0.30,,,1,0,1,0,0,0,0,0
97,79,15,58,81,Group stage,88668,2,0,1.30,1.30,,,3,0,2,0,0,0,1,0
131,233,16,43,16,Group stage,41479,0,1,0.90,0.10,,,3,0,3,0,0,0,0,0
318,149,16,6,48,Group stage,43738,0,2,1.00,1.50,,,1,0,1,0,0,0,0,0
371,176,16,18,12,Group stage,44374,4,1,2.60,0.40,,,2,0,2,0,0,0,0,0
232,132,16,71,29,Group stage,68895,1,1,0.60,1.30,,,1,0,3,0,0,0,0,0
164,121,17,76,4,Group stage,41823,0,1,0.90,0.60,,,3,0,0,0,0,0,0,0
71,146,17,57,63,Group stage,44259,2,0,1.60,1.70,,,3,0,2,0,0,1,0,0
78,214,17,28,23,Group stage,42860,2,1,2.40,0.60,,,1,0,2,0,0,0,0,0
226,343,17,3,47,Group stage,88966,2,0,0.30,0.30,,,1,0,4,0,0,0,0,0
316,59,18,82,36,Group stage,40875,0,2,0.90,1.40,,,1,1,2,0,0,0,0,0
94,20,18,59,65,Group stage,41797,1,3,1.00,0.80,,,3,0,3,0,0,0,0,0
228,125,18,49,24,Group stage,44833,1,1,0.10,1.70,,,0,0,1,0,0,0,0,0
107,122,18,27,80,Group stage,68463,0,0,0.80,0.60,,,0,0,0,0,0,0,0,0
263,314,19,73,11,Group stage,39089,1,0,1.40,0.70,,,2,0,1,0,0,0,0,0
79,291,19,81,45,Group stage,41663,0,0,0.60,0.60,,,1,0,2,0,0,0,0,0
97,283,19,58,31,Group stage,42662,3,2,2.00,0.90,,,2,0,4,0,0,0,1,0
346,83,19,9,66,Group stage,88103,2,0,2.40,0.20,,,0,0,3,0,0,0,0,0
149,371,20,48,18,Group stage,59407,0,0,0.40,0.50,,,1,0,0,0,0,0,0,0
132,131,20,29,43,Group stage,42608,1,2,3.10,1.50,,,0,0,0,0,0,0,1,0
232,233,20,71,16,Group stage,40013,7,0,3.50,0.00,,,0,0,2,0,0,0,1,0
318,176,20,6,12,Group stage,40432,1,0,0.80,2.40,,,3,0,2,0,0,1,0,0
226,146,21,3,63,Group stage,88012,1,2,2.20,0.10,,,0,0,6,0,0,0,1,0
214,164,21,23,76,Group stage,42925,0,0,1.40,0.90,,,2,0,1,0,0,0,0,0
343,71,21,47,57,Group stage,39369,0,0,0.70,0.90,,,2,0,1,0,0,1,0,0
78,121,21,28,4,Group stage,40875,4,1,4.00,0.50,,,0,0,3,0,0,0,0,0
107,59,22,27,36,Group stage,45334,6,2,2.10,1.40,,,0,0,2,0,0,0,0,1
20,228,22,65,49,Group stage,41721,0,2,0.90,0.70,,,2,0,1,0,0,0,0,0
122,316,22,80,82,Group stage,43418,1,1,0.80,1.50,,,4,0,2,0,0,0,0,1
94,125,23,59,24,Group stage,67372,0,2,0.30,1.20,,,4,0,2,0,0,0,0,1
78,371,24,28,18,Final,78011,4,2,1.10,1.10,,,2,0,1,0,0,0,1,0
318,107,25,6,27,Third-place match,64406,2,0,1.50,1.00,,,1,0,2,0,0,0,0,0
371,107,26,18,27,Semi-finals,78011,2,1,1.70,0.60,,,2,0,1,0,0,0,0,0
78,318,27,28,6,Semi-finals,64286,1,0,1.70,0.40,,,2,0,3,0,0,0,0,0
