"manager_id","manager_name"
1,Abdellah Blinda
2,Abdelmajid Chetali
3,Adam Nawałka
4,Ademar Pimenta
5,Adolfo Pedernera
6,Age Hareide
7,Aime Jacquet
8,Akira Nishino
9,Albert Batteaux
10,Alberto Suppici
11,Alberto Zaccheroni
12,Alejandro Sabella
13,Aleksandar Tirnanic
14,Alex Ferguson
15,Alexandre Guimaraes
16,Alf Ramsey
17,Alfio Basile
18,Alfredo Foni
19,Ali Selmi
20,Aliou Cisse
21,Alistair Macleod
22,Alkis Panagoulias
23,Amadeo Garcia
24,Ammar Souayah
25,Andy Battie
26,Andy Roxburgh
27,Ange Postecoglou
28,Angelo Niculescu
29,Anghel Iordanescu
30,Anibal Ruiz
31,Antoine Tassy
32,Antoni Piechniczek
33,Antonio Lopez
34,Antonio Luis Alves Ribeiro Oliveira
35,Arrigo Sacchi
36,Arturo Bucciardi
37,Asbjorn Halvorsen
38,Aurelio Gonzalez
39,Aymore Moreira
40,Azeglio Vicini
41,Bert van Marwijk
42,Berti Vogts
43,Bill Jeffrey
44,Billy Bingham
45,Blagoje Vidinic
46,Bo Johansson
47,Bob Bradley
48,Bob Gansler
49,Bob Glendenning
50,Bob Millar
51,Bobby Robson
52,Bora Milutinovic
53,Bosko Simonovic
54,Branko Ivankovic
55,Bruce Arena
56,Bruno Metsu
57,Carlos Alberto Parreira
58,Carlos Bilardo
59,Carlos Queiroz
60,Cayetano Re
61,Cesar Luis Menotti
62,Cesare Maldini
63,Cesare Prandelli
64,Cha Bum-kun
65,Claude Le Roy
66,Claudio Coutinho
67,Clemens Westerhof
68,Coloman Braun
69,Constantin Radulescu
70,Craig Brown
71,Czesław Michniewicz
72,Daniel Passarella
73,David Gould
74,Dawson Walker
75,Del Bosque
76,Dick Advocaat
77,Didi
78,Didier Deschamps
79,Diego Alonso
80,Diego Maradona
81,Dimitar Penev
82,Doug Livingstone
83,Dragan Stojkovic
84,Dunga
85,Edmondo Fabbri
86,Egil Olsen
87,Emerich Jenei
88,Emmanuel Sheffer
89,Enzo Bearzot
90,Ernst Happel
91,Evaristo
92,Fabio Capello
93,Felipe Pascucci
94,Felix Sanchez
95,Fernando Hierro
96,Fernando Riera
97,Fernando Santos
98,Ferruccio Novo
99,Ferruccio Valcareggi
100,Festus Onigbinde
101,Flavio Costa
102,Francisco Bru
103,Francisco Maturana
104,Francisco Olazar
105,Franco Andreoli
106,Franz Beckenbauer
107,Gareth Southgate
108,Gaston Barreau
109,Gavril Kachalin
110,Georg Buschner
111,Georg Ericson
112,Georg Schmidt
113,George Kimpton
114,George Raynor
115,Georges Leekens
116,Georgi Pachedzhiev
117,Gerardo Martino
118,Gernot Rohr
119,Giovanni Trapattoni
120,Glenn Hoddle
121,Graham Arnold
122,Gregg Berhalter
123,Guillermo Eizaguirre
124,Guillermo Stabile
125,Gustavo Alfaro
126,Gusztav Sebes
127,Guus Hiddink
128,Guy Thys
129,Gyorgy Mezey
130,Gyorgy Orth
131,Hajime Moriyasu
132,Hansi Flick
133,Hector Cuper
134,Hector Goetinck
135,Heimir Hallgrimsson
136,Helenio Herrera
137,Helmut Schoen
138,Helmut Senekowitsch
139,Henri Guerin
140,Henri Michel
141,Henry Mueller
142,Henryk Kasperczak
143,Herbert Prohaska
144,Hernan Carrasco
145,Hernan Dario Gomez
146,Herve Renard
147,Heshmat Mohadjerani
148,Ho Kon Kim
149,Hoalid Regragui
150,Hoe Taik Lee
151,Hong Myung-bo
152,Hristo Bonev
153,Hristo Mladenov
154,Hugo Meisl
155,Huh Jung-moo
156,Ignacio Trellez
157,Ilija Petkovic
158,Ivan Vutsov
159,Ivica Osim
160,Jacek Gmoch
161,Jack Butler
162,Jack Charlton
163,Jalal Talebi
164,Jalel Kadri
165,James Mcrea
166,James Murphy
167,Janne Andersson
168,Javier Aguirre
169,Javier Clemente
170,Jean Vincent
171,Jerzy Engel
172,Joachim Low
173,Jock Stein
174,Johannes Van Mastenbroek
175,John Adshead
176,John Herdman
177,Jomo Sono
178,Jorge Luis Pinto
179,Jorge Sampaoli
180,Jorge Solari
181,Jose Antonio Camacho
182,Jose De La Paz
183,Jose Durand Laguna
184,Jose Faria
185,Jose Pekerman
186,Jose Roca
187,Jose Santamaria
188,Jose Tapia
189,Jose Torres
190,Jose Villalonga
191,Josef Argauer
192,Josef Cejp
193,Josef Hickersberger
194,Joszef Nagy
195,Jozef Kaluza
196,Jozef Marko
197,Jozef Venglos
198,Juan Antonio Pizzi
199,Juan Carlos Corazzo
200,Juan Carlos Lorenzo
201,Juan Carlos Osorio
202,Juan Hohberg
203,Juan Lopez
204,Juan Luque
205,Jung Nam Kim
206,Jupp Derwall
207,Jurgen Klinsmann
208,Kalman Meszoly
209,Karel Bruckner
210,Karel Kolsky
211,Karel Petru
212,Karl Rappan
213,Karoly Dietz
214,Kasper Hjulmand
215,Kazimierz Gorski
216,Kim Jong-hun
217,Kim Pyung-seok
218,Kobi Kuhn
219,Konstantin Beskov
220,Kwesi Appiah
221,Ladislao Kubala
222,Lajos Baroti
223,Lajos Czeizler
224,Lars Lagerback
225,Leo Beenhakker
226,Lionel Scaloni
227,Ljubomir Lovric
228,Louis van Gaal
229,Luis Alamos
230,Luis Alberto Santibanez
231,Luis Aragones
232,Luis Enrique
233,Luis Fernando Suarez
234,Luis Suarez
235,Luiz Felipe Scolari
236,Luiz Vinhaes
237,Mahmoud El Gohary
238,Manuel Fleitas Solich
239,Manuel Lapuente
240,Marc Wilmots
241,Marcello Lippi
242,Marcelo Bielsa
243,Marco van Basten
244,Marcos Calderon
245,Marcos Paqueta
246,Mario Pretto
247,Mario Zagallo
248,Matjaz Kek
249,Mauricio Rodriguez
250,Michel Hidalgo
251,Mick McCarthy
252,Miguel Herrera
253,Miguel Mejia Baron
254,Miguel Munoz
255,Miljan Miljanic
256,Milorad Arsenijevic
257,Milovan Rajevac
258,Mirko Jozic
259,Miroslav Blazevic
260,Mladen Krstajic
261,Mohammed Al-Kharashy
262,Morten Olsen
263,Murat Yakin
264,Nabil Maaloul
265,Nasser Al-Johar
266,Nelson Acosta
267,Niko Kovac
268,Nikolai Morozov
269,Octav Luchide
270,Octavio Vial
271,Odon Nadas
272,Oldrich Nejedly
273,Oleg Romantsev
274,Oleh Blokhin
275,Oliveira Goncalves
276,Olle Nordin
277,Omar Borras
278,Ondino Viera
279,Orvar Bergmark
280,Oscar Ramirez
281,Oscar Tabarez
282,Ottmar Hitzfeld
283,Otto Addo
284,Otto Gloria
285,Otto Nerz
286,Otto Pfister
287,Otto Rehhagel
288,Paolo Mazza
289,Paul Le Guen
290,Paul Van Himst
291,Paulo Bento
292,Paulo Cesar Carpegiani
293,Pavel Sadyrin
294,Paweł Janas
295,Peter Doherty
296,Philippe Troussier
297,Pierre Pibarot
298,Pim Verbeek
299,Pindaro De Carvalho
300,Rabah Saadane
301,Rachid Mekhloufi
302,Radomir Antic
303,Rale Rasic
304,Raoul Caudron
305,Ratomir Dujkovic
306,Raul Cardenas
307,Raymond Domenech
308,Raymond Goethals
309,Reinaldo Rueda
310,Rene Simoes
311,Ricardo Gareca
312,Ricardo La Volpe
313,Ricki Herbert
314,Rigobert Song
315,Rinus Michels
316,Rob Page
317,Robert Waseige
318,Roberto Martinez
319,Roberto Porta
320,Roger Lemerre
321,Ron Greenwood
322,Roy Hodgson
323,Rudi Voller
324,Rudolf Vytlacil
325,Rye Hyun Myung
326,Sabri Lamouchi
327,Safet Susic
328,Sandro Puppo
329,Sebastiao Lazaroni
330,Senol Gunes
331,Sepp Herberger
332,Sepp Piontek
333,Sergio Costa
334,Shin Taeyong
335,Slobodan Santrac
336,Srecko Katanec
337,Stanislav Cherchesov
338,Stefan Bozhkov
339,Stephen Keshi
340,Steve Sampson
341,Sven-Goran Eriksson
342,Takeshi Okada
343,Tata Martino
344,Tele Santana
345,Tim
346,Tite
347,Tommy Soderberg
348,Tommy Svensson
349,Tony Waiters
350,Ulises Saucedo
351,Vaclav Meissner
352,Vahid Halilhodzic
353,Valeri Nepomnyashchi
354,Valeriy Lobanovskyi
355,Vicente Feola
356,Vicente del Bosque
357,Victor Pua
358,Vittorio Pozzo
359,Vladimir Petkovic
360,Vladimir Weiss
361,Vladislao Cap
362,Volker Finke
363,Walter Nausch
364,Walter Winterbottom
365,Willie Ormond
366,Winfried Schafer
367,Xavier Azkargorta Uriarte
368,Yong Shik Kim
369,Zeze Moreira
370,Zico
371,Zlatko Dalic
372,Zlatko Kranjcar
