"nation_id","nation_name","federation"
1,Algeria,CAF
2,Angola,CAF
3,Argentina,CONMEBOL
4,Australia,AFC
5,Austria,UEFA
6,Belgium,UEFA
7,Bolivia,CONMEBOL
8,Bosnia and Herzegovina,UEFA
9,Brazil,CONMEBOL
10,Bulgaria,UEFA
11,Cameroon,CAF
12,Canada,CONCACAF
13,Chile,CONMEBOL
14,China PR,AFC
15,Colombia,CONMEBOL
16,Costa Rica,CONCACAF
17,Cote d'Ivoire,CAF
18,Croatia,UEFA
19,Cuba,CONCACAF
20,Czechia,UEFA
21,Czechoslovakia,UEFA
22,DR. Congo,CAF
23,Denmark,UEFA
24,Ecuador,CONMEBOL
25,Egypt,CAF
26,El Salvador,CONCACAF
27,England,UEFA
28,France,UEFA
29,Germany,UEFA
30,Germany DR,UEFA
31,Ghana,CAF
32,Greece,UEFA
33,Haiti,CONCACAF
34,Honduras,CONCACAF
35,Hungary,UEFA
36,IR Iran,AFC
37,Iceland,UEFA
38,Indonesia,AFC
39,Iraq,AFC
40,Israel,UEFA
41,Italy,UEFA
42,Jamaica,CONCACAF
43,Japan,AFC
44,Korea DPR,AFC
45,Korea Republic,AFC
46,Kuwait,AFC
47,Mexico,CONCACAF
48,Morocco,CAF
49,Netherlands,UEFA
50,New Zealand,OFC
51,Nigeria,CAF
52,Northern Ireland,UEFA
53,Norway,UEFA
54,Panama,CONCACAF
55,Paraguay,CONMEBOL
56,Peru,CONMEBOL
57,Poland,UEFA
58,Portugal,UEFA
59,Qatar,AFC
60,Republic of Ireland,UEFA
61,Romania,UEFA
62,Russia,UEFA
63,Saudi Arabia,AFC
64,Scotland,UEFA
65,Senegal,CAF
66,Serbia,UEFA
67,Slovakia,UEFA
68,Slovenia,UEFA
69,South Africa,CAF
70,Soviet Union,UEFA
71,Spain,UEFA
72,Sweden,UEFA
73,Switzerland,UEFA
74,Togo,CAF
75,Trinidad and Tobago,CONCACAF
76,Tunisia,CAF
77,Turkiye,UEFA
78,Ukraine,UEFA
79,United Arab Emirates,AFC
80,United States,CONCACAF
81,Uruguay,CONMEBOL
82,Wales,UEFA
83,West Germany,UEFA
84,Yugoslavia,UEFA
